algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n),T4(n)
2.432200000000005E-6,7.235999999999928E-7,8.383999999999981E-7,3.423000000000025E-7,2437.0,584.0,34.0,125.0,
4.6578000000001056E-6,7.549999999999913E-7,6.949999999999972E-7,1.6070000000000233E-7,6577.0,1249.0,59.0,185.0,
1.4753999999999861E-6,1.2663000000000121E-6,9.116999999999918E-7,1.8100000000000277E-7,13667.0,2164.0,87.0,245.0,
2.744300000000001E-6,2.0195999999999883E-6,3.043000000000033E-7,2.1510000000000308E-7,24457.0,3329.0,117.0,305.0,
4.571199999999981E-6,2.1641999999999695E-6,3.411000000000045E-7,8.840000000000131E-8,39697.0,4744.0,148.0,365.0,
7.113700000000089E-6,6.133000000000056E-7,4.019000000000064E-7,9.350000000000143E-8,60137.0,6409.0,180.0,425.0,
1.0430400000000072E-5,7.771000000000072E-7,4.66200000000008E-7,1.0060000000000159E-7,86527.0,8324.0,213.0,485.0,
1.4958499999999842E-5,9.692000000000084E-7,5.360000000000047E-7,1.0640000000000164E-7,119617.0,10489.0,248.0,545.0,
2.0381199999999797E-5,1.183300000000008E-6,6.033000000000062E-7,1.1440000000000174E-7,160157.0,12904.0,283.0,605.0,
2.6912799999999892E-5,1.4307999999999853E-6,6.705999999999986E-7,1.208000000000018E-7,208897.0,15569.0,318.0,665.0,
4.877479999999995E-5,1.713200000000033E-6,7.338999999999981E-7,1.273000000000019E-7,266587.0,18484.0,355.0,725.0,
5.032009999999999E-5,2.0518000000000123E-6,1.2404000000000123E-6,1.3460000000000199E-7,333977.0,21649.0,392.0,785.0,
7.940479999999939E-5,2.3009999999999734E-6,8.513000000000048E-7,1.492000000000021E-7,411817.0,25064.0,430.0,845.0,
7.352069999999932E-5,2.5870000000000017E-6,9.050999999999914E-7,1.4560000000000218E-7,500857.0,28729.0,468.0,905.0,
8.012429999999988E-5,2.925900000000005E-6,9.675000000000077E-7,1.5550000000000234E-7,601847.0,32644.0,506.0,965.0,
9.67432000000008E-5,3.3024999999999633E-6,1.2055999999999934E-6,1.7430000000000248E-7,715537.0,36809.0,545.0,1025.0,
1.2288660000000094E-4,5.371799999999992E-6,1.1029999999999944E-6,1.703000000000026E-7,842677.0,41224.0,585.0,1085.0,
1.627495000000019E-4,4.582699999999964E-6,3.8039999999999754E-6,1.7510000000000267E-7,984017.0,45889.0,625.0,1145.0,
1.7099079999999842E-4,4.564100000000025E-6,1.1873000000000075E-6,1.8460000000000288E-7,1140307.0,50804.0,665.0,1205.0,
